equipo,liga,ataque,medio,defensa,promedio,año,entrenador
Bristol City,Coca-Cola Championship,69,69,69,69,30-06-2010,Steve Coppell
C.D. Numancia,Liga Adelante,69,69,69,69,30-06-2010,Gonzalo Arconada
Energie Cottbus,2. Bundesliga,69,69,69,69,30-06-2010,Claus-Dieter Wollitz
Reading,Coca-Cola Championship,69,69,69,69,30-06-2010,Brian McDermott
FC Utrecht,Eredivisie,68,68,68,68,30-06-2010,Ton du Chatinier
FC Augsburgo,2. Bundesliga,68,68,68,68,30-06-2010,Jos Luhukay
Lecce,Serie B,67,67,67,67,30-06-2010,Luigi De Canio
MSV Duisburg,2. Bundesliga,67,67,67,67,30-06-2010,Milan Šašić
Montpellier Hérault Sport Club,Ligue 1,66,66,66,66,30-06-2010,René Girard
FC Nantes,Ligue 2,66,66,66,66,30-06-2010,Baptiste Gentili
Brescia,Serie B,73,73,73,73,30-06-2010,Giuseppe Iachini
Derby C.,Coca-Cola Championship,72,72,72,72,30-06-2010,Nigel Clough
RC Strasbourg,Ligue 2,71,71,71,71,30-06-2010,Pascal Janin
Vitesse,Eredivisie,70,70,70,70,30-06-2010,Theo Bos
Crystal Palace,Coca-Cola Championship,70,70,70,70,30-06-2010,George Burley
Rayo Vallecano,Liga Adelante,69,69,69,69,30-06-2010,Felipe
S.C. Olhanense,Liga Portuguesa,69,69,69,69,30-06-2010,Jorge Costa
Sheffield Wednesday,Coca-Cola Championship,69,69,69,69,30-06-2010,Alan Irvine
NEC,Eredivisie,68,68,68,68,30-06-2010,Wiljan Vloet
Karlsruher SC,2. Bundesliga,68,68,68,68,30-06-2010,Markus Schupp
Santo André,Liga do Brasil,67,67,67,67,30-06-2010,Sérgio Soares
Havre Athletic Club,Ligue 2,66,66,66,66,30-06-2010,Joaquín Caparrós
Ipswich Town,Coca-Cola Championship,66,66,66,66,30-06-2010,Roy Keane
Levante U.D.,Liga Adelante,64,64,64,64,30-06-2010,Luis García
Preston North End,Coca-Cola Championship,64,64,64,64,30-06-2010,Darren Ferguson
Associação Naval 1° de Maio,Liga Portuguesa,62,62,62,62,30-06-2010,Augusto Inácio
FC Metz,Ligue 2,61,61,61,61,30-06-2010,Yvon Pouliquen
Stade Malherbe Caen,Ligue 2,55,55,55,55,30-06-2010,Franck Dumas
Sassuolo,Serie B,72,72,72,72,30-06-2010,Daniele Arrigoni
U.D. Las Palmas,Liga Adelante,71,71,71,71,30-06-2010,Paco Jémez
Nottingham Forest,Coca-Cola Championship,70,70,70,70,30-06-2010,Billy Davies
1. FC Kaiserslautern,2. Bundesliga,70,70,70,70,30-06-2010,Marco Kurz
Leeds United,Coca-Cola League One,70,70,70,70,30-06-2010,Simon Grayson
Hansa Rostock,2. Bundesliga,69,69,69,69,30-06-2010,Peter Vollmann
Swansea City,Coca-Cola Championship,69,69,69,69,30-06-2010,Paulo Sousa
FC St. Pauli,2. Bundesliga,68,68,68,68,30-06-2010,Holger Stanislawski
Albacete Balompié,Liga Adelante,67,67,67,67,30-06-2010,David Vidal
Leicester City,Coca-Cola Championship,67,67,67,67,30-06-2010,Nigel Pearson
Sporting Lokeren OV,Liga Pro Belga,67,67,67,67,30-06-2010,Manolo Preciado
Elche C.F.,Liga Adelante,66,66,66,66,30-06-2010,Bordalás
Belenenses,Liga Portuguesa,64,64,64,64,30-06-2010,Toni Conceição
U.D. Salamanca,Liga Adelante,63,63,63,63,30-06-2010,Roberto D'Alessandro
Vitória Setúbal,Liga Portuguesa,62,62,62,62,30-06-2010,Manuel Fernandes
Real Murcia,Liga Adelante,61,61,61,61,30-06-2010,José González
En Avant de Guingamp,Ligue 2,72,72,72,72,30-06-2010,Victor Zvunka
Rio Ave FC,Liga Portuguesa,72,72,72,72,30-06-2010,Carlos Brito
R.C. Celta,Liga Adelante,70,70,70,70,30-06-2010,Eusebio Sacristán
Barnsley,Coca-Cola Championship,69,69,69,69,30-06-2010,Mark Robins
Sparta Rotterdam,Eredivisie,69,69,69,69,30-06-2010,Aad de Mos
Willem II,Eredivisie,69,69,69,69,30-06-2010,Theo de Jong
C.D. Castellón,Liga Adelante,68,68,68,68,30-06-2010,Jordi Vinyals
SpVgg Greuther Fürth,2. Bundesliga,67,67,67,67,30-06-2010,Mike Büskens
Vicenza,Serie B,67,67,67,67,30-06-2010,Rolando Maran
VVV-Venlo,Eredivisie,66,66,66,66,30-06-2010,Jan van Dijk
Watford,Coca-Cola Championship,66,66,66,66,30-06-2010,Malky Mackay
Roda JC,Eredivisie,66,66,66,66,30-06-2010,Harm van Veldhoven
ADO Den Haag,Eredivisie,66,66,66,66,30-06-2010,Maurice Steijn
Girona F.C.,Liga Adelante,66,66,66,66,30-06-2010,Juliá
Heracles Almelo,Eredivisie,65,65,65,65,30-06-2010,Gertjan Verbeek
Club Deportivo Chivas USA,Major League Soccer,64,64,64,64,30-06-2010,Lotina
Villarreal B,Liga Adelante,68,68,68,68,30-06-2010,Juan Garrido
Charlton Athletic,Coca-Cola League One,67,67,67,67,30-06-2010,Phil Parkinson
Coventry City,Coca-Cola Championship,66,66,66,66,30-06-2010,Aidy Boothroyd
Norwich City,Coca-Cola League One,66,66,66,66,30-06-2010,Paul Lambert
Padova,Serie B,64,64,64,64,30-06-2010,Carlo Sabatini
Dijon FCO,Ligue 2,64,64,64,64,30-06-2010,Patrice Carteron
Cádiz C.F.,Liga Adelante,64,64,64,64,30-06-2010,Victor Espárrago
Modena,Serie B,64,64,64,64,30-06-2010,Luigi Apolloni
RKC Waalwijk,Eredivisie,63,63,63,63,30-06-2010,Ruud Brood
Mantova,Serie B,58,58,58,58,30-06-2010,Michele Serena
Empoli,Serie B,68,68,68,68,30-06-2010,Salvatore Campilongo
S.D. Huesca,Liga Adelante,66,66,66,66,30-06-2010,Calderón
Angers SCO,Ligue 2,64,64,64,64,30-06-2010,Jean-Louis Garcia
Frosinone,Serie B,64,64,64,64,30-06-2010,Francesco Moriero
Córdoba C.F.,Liga Adelante,63,63,63,63,30-06-2010,Lucas Alcaraz
A.C. Cesena,Serie B,63,63,63,63,30-06-2010,Massimo Ficcadenti
Blackpool,Coca-Cola Championship,61,61,61,61,30-06-2010,Ian Holloway
Stade Brestois 29,Ligue 2,68,68,68,68,30-06-2010,Alex Dupont
Rot-Weiß Oberhausen,2. Bundesliga,67,67,67,67,30-06-2010,Hans-Günter Bruns
Southa.,Coca-Cola League One,67,67,67,67,30-06-2010,Alan Pardew
Ancona,Serie B,65,65,65,65,30-06-2010,Sandro Salvioni
Fortuna Düsseldorf,2. Bundesliga,65,65,65,65,30-06-2010,Norbert Meier
Real Unión de Irún,Liga Adelante,63,63,63,63,30-06-2010,Iñaki Alonso
Lillestrøm SK,Tippeligaen,63,63,63,63,30-06-2010,Rudi García
Brighton & Hove Albion,Coca-Cola League One,63,63,63,63,30-06-2010,Gustavo Poyet
Swindon Town,Coca-Cola League One,61,61,61,61,30-06-2010,Danny Wilson
Carlisle United,Coca-Cola League One,61,61,61,61,30-06-2010,Greg Abbott
Millwall,Coca-Cola League One,61,61,61,61,30-06-2010,Kenny Jackett
AC Ajaccio,Ligue 2,61,61,61,61,30-06-2010,Olivier Pantaloni
AC Arles Avignon,Ligue 2,63,63,63,63,30-06-2010,Michel Estevan
Tours FC,Ligue 2,61,61,61,61,30-06-2010,Daniel Sánchez
Oldham Athletic,Coca-Cola League One,61,61,61,61,30-06-2010,David Penney
Clermont Foot Auvergne 63,Ligue 2,59,59,59,59,30-06-2010,Michel Der Zakarian
CS Sedan Ardennes,Ligue 2,56,56,56,56,30-06-2010,Landry Chauvin
Piacenza,Serie B,67,67,67,67,30-06-2010,Fabrizio Castori
SC Paderborn 07,2. Bundesliga,64,64,64,64,30-06-2010,André Schubert
Stade Lavallois Mayenne FC,Ligue 2,64,64,64,64,30-06-2010,Philippe Hinschberger
1. FC Union Berlin,2. Bundesliga,63,63,63,63,30-06-2010,Uwe Neuhaus
Brentford,Coca-Cola League One,62,62,62,62,30-06-2010,Andy Scott
Notts County,Coca-Cola League Two,62,62,62,62,30-06-2010,Steve Cotterill
Sporting Club Bastia,Ligue 2,60,60,60,60,30-06-2010,Faruk Hadžibegić
Leyton Orient,Coca-Cola League One,57,57,57,57,30-06-2010,Russell Slade
FC Istres Ouest Provence,Ligue 2,60,60,60,60,30-06-2010,José Pasqualetti
Newcastle United Jets FC,Hyundai A-League,59,59,59,59,30-06-2010,Chris Hughton
Nîmes Olympique,Ligue 2,62,62,62,62,30-06-2010,Jean-Michel Cavalli
Bury,Coca-Cola League Two,62,62,62,62,30-06-2010,Alan Knill
St. Patrick's Athletic,League of Ireland,58,58,58,58,30-06-2010,Joaquín Caparrós
Bradford City,Coca-Cola League Two,55,55,55,55,30-06-2010,Stuart McCall
Northampton Town,Coca-Cola League Two,58,58,58,58,30-06-2010,Ian Sampson
AFC Bournemouth,Coca-Cola League Two,58,58,58,58,30-06-2010,Eddie Howe
Grimsby Town,Coca-Cola League Two,58,58,58,58,30-06-2010,Neil Woods
F.C. Barcelona,Liga BBVA,86,86,86,86,30-06-2011,Pep Guardiola
Real Madrid Club de Fútbol,Liga BBVA,85,85,85,85,30-06-2011,José Mourinho
Chelsea,Barclays PL,85,85,85,85,30-06-2011,Carlo Ancelotti
Inter,Serie A,86,86,86,86,30-06-2011,Falcão
Manchester United,Barclays PL,85,85,85,85,30-06-2011,Alex Ferguson
Manchester City,Barclays PL,84,84,84,84,30-06-2011,Roberto Mancini
Arsenal,Barclays PL,84,84,84,84,30-06-2011,Gustavo Alfaro
Liverpool,Barclays PL,83,83,83,83,30-06-2011,Kenny Dalglish
AC Milan,Serie A,83,83,83,83,30-06-2011,Massimiliano Allegri
Tottenham Hotspur,Barclays PL,80,80,80,80,30-06-2011,Harry Redknapp
Club Atlético de Madrid S.A.D.,Liga BBVA,85,85,85,85,30-06-2011,Quique Flores
Sevilla Fútbol Club S.A.D.,Liga BBVA,83,83,83,83,30-06-2011,Gregorio Manzano
Valencia Club de Fútbol S.A.D.,Liga BBVA,82,82,82,82,30-06-2011,Unai Emery
Roma,Serie A,81,81,81,81,30-06-2011,Luis Enrique
Juventus,Serie A,79,79,79,79,30-06-2011,Luigi Delneri
SL Benfica,Liga Portuguesa,81,81,81,81,30-06-2011,Jorge Jesus
Villarreal Club de Fútbol S.A.D.,Liga BBVA,81,81,81,81,30-06-2011,Juan Garrido
FC Oporto,Liga Portuguesa,81,81,81,81,30-06-2011,André Villas-Boas
Bayer Leverkusen,Bundesliga,80,80,80,80,30-06-2011,Jupp Heynckes
Everton,Barclays PL,80,80,80,80,30-06-2011,David Moyes
Werder Bremen,Bundesliga,79,79,79,79,30-06-2011,Thomas Schaaf
Fiorentina,Serie A,79,79,79,79,30-06-2011,Siniša Mihajlović
Schalke 04,Bundesliga,79,79,79,79,30-06-2011,Ralf Rangnick
Fulham,Barclays PL,79,79,79,79,30-06-2011,Martin Jol
Borussia Dortmund,Bundesliga,77,77,77,77,30-06-2011,Jürgen Klopp
Sampdoria,Serie A,83,83,83,83,30-06-2011,Gianluca Atzori
Palermo,Serie A,80,80,80,80,30-06-2011,Stefano Pioli
Paris Saint-Germain,Ligue 1,78,78,78,78,30-06-2011,Antoine Kombouaré
Sporting CP,Liga Portuguesa,78,78,78,78,30-06-2011,Paulo Sérgio
Athletic Club,Liga BBVA,78,78,78,78,30-06-2011,Joaquín Caparrós
Birmingham City,Barclays PL,77,77,77,77,30-06-2011,Chris Hughton
Lille,Ligue 1,77,77,77,77,30-06-2011,Rudi García
Ajax,Eredivisie,79,79,79,79,30-06-2011,Frank de Boer
PSV,Eredivisie,78,78,78,78,30-06-2011,Fred Rutten
TSG 1899 Hoffenheim,Bundesliga,78,78,78,78,30-06-2011,Marco Pezzaiuoli
Lazio,Serie A,78,78,78,78,30-06-2011,Edoardo Reja
VfB Stuttgart,Bundesliga,77,77,77,77,30-06-2011,Bruno Labbadia
Sunderland,Barclays PL,77,77,77,77,30-06-2011,Steve Bruce
Getafe Club de Fútbol S.A.D.,Liga BBVA,76,76,76,76,30-06-2011,Míchel
Real Club Deportivo de La Coruña S.A.D.,Liga BBVA,76,76,76,76,30-06-2011,Lotina
Bolton Wanderers,Barclays PL,76,76,76,76,30-06-2011,Owen Coyle
Blackburn,Barclays PL,75,75,75,75,30-06-2011,Steve Kean
West Ham United,Barclays PL,74,74,74,74,30-06-2011,Kevin Keen
Udinese,Serie A,79,79,79,79,30-06-2011,Francesco Guidolin
Parma,Serie A,76,76,76,76,30-06-2011,Franco Colomba
R.C.D. Espanyol de Barcelona S.A.D.,Liga BBVA,76,76,76,76,30-06-2011,Mauricio Pochettino
Stoke City,Barclays PL,76,76,76,76,30-06-2011,Tony Pulis
Real Sporting de Gijón S.A.D.,Liga BBVA,75,75,75,75,30-06-2011,Manolo Preciado
Corinthians,Liga do Brasil,75,75,75,75,30-06-2011,Tite
Real Zaragoza S.A.D.,Liga BBVA,75,75,75,75,30-06-2011,Javier Aguirre
Newcastle United,Barclays PL,75,75,75,75,30-06-2011,Alan Pardew
Club Atlético Osasuna,Liga BBVA,74,74,74,74,30-06-2011,Quique Flores
Real Club Deportivo Mallorca S.A.D.,Liga BBVA,74,74,74,74,30-06-2011,Lotina
Unión Deportiva Almería S.A.D.,Liga BBVA,74,74,74,74,30-06-2011,Olabe
AS Monaco FC,Ligue 1,73,73,73,73,30-06-2011,Laurent Banide
São Paulo,Liga do Brasil,73,73,73,73,30-06-2011,Carpegiani
Santos,Liga do Brasil,77,77,77,77,30-06-2011,Boebi Solomons
AJ Auxerre,Ligue 1,77,77,77,77,30-06-2011,Jean Fernández
Toulouse FC,Ligue 1,76,76,76,76,30-06-2011,Alain Casanova
Bari,Serie A,76,76,76,76,30-06-2011,Vincenzo Torrente
FC Twente,Eredivisie,76,76,76,76,30-06-2011,Michel Preud'homme
Wolverhampton W.,Barclays PL,76,76,76,76,30-06-2011,Mick McCarthy
Cagliari,Serie A,75,75,75,75,30-06-2011,Roberto Donadoni
Gremio,Liga do Brasil,75,75,75,75,30-06-2011,Sérgio Soares
Real Racing Club S.A.D.,Liga BBVA,75,75,75,75,30-06-2011,Miguel Russo
Rangers,SPL,75,75,75,75,30-06-2011,Neil Warnock
Atlético Mineiro,Liga do Brasil,75,75,75,75,30-06-2011,Dorival Júnior
Flamengo,Liga do Brasil,74,74,74,74,30-06-2011,Vanderlei Luxemburgo
West Bromwich Albion,Barclays PL,74,74,74,74,30-06-2011,Roy Hodgson
Wigan Athletic,Barclays PL,71,71,71,71,30-06-2011,Roberto Martínez
Málaga Club de Fútbol S.A.D.,Liga BBVA,69,69,69,69,30-06-2011,Manuel Pellegrini
Catania,Serie A,77,77,77,77,30-06-2011,Diego Simeone
Boca Juniors,Resto del mundo,75,75,75,75,30-06-2011,Julio Falcioni
Hannover 96,Bundesliga,75,75,75,75,30-06-2011,Mirko Slomka
Real Sociedad de Fútbol S.A.D.,Liga BBVA,74,74,74,74,30-06-2011,Martín Lasarte
Botafogo,Liga do Brasil,74,74,74,74,30-06-2011,Caio Júnior
Levante Unión Deportiva S.A.D.,Liga BBVA,74,74,74,74,30-06-2011,Luis García
Chievo Verona,Serie A,72,72,72,72,30-06-2011,Domenico Di Carlo
Montpellier Hérault Sport Club,Ligue 1,72,72,72,72,30-06-2011,René Girard
A.S. Saint-Etienne,Ligue 1,72,72,72,72,30-06-2011,Christophe Galtier
1. FSV Mainz 05,Bundesliga,72,72,72,72,30-06-2011,Thomas Tuchel
River Plate,Resto del mundo,72,72,72,72,30-06-2011,Juan José López
Vasco da Gama,Liga do Brasil,75,75,75,75,30-06-2011,Ricardo Gomes
FC Lorient Bretagne Sud,Ligue 1,73,73,73,73,30-06-2011,Christian Gourcuff
América,Prim. Div. Mex.,73,73,73,73,30-06-2011,Mauro Fernandes
VfL Bochum,2. Bundesliga,72,72,72,72,30-06-2011,Friedhelm Funkel
Real Betis Balompié S.A.D.,Liga Adelante,71,71,71,71,30-06-2011,Pepe Mel
1. FC Nürnberg,Bundesliga,70,70,70,70,30-06-2011,Dieter Hecking
AZ Alkmaar,Eredivisie,69,69,69,69,30-06-2011,Gertjan Verbeek
Cardiff City,npower Champ.,77,77,77,77,30-06-2011,Malky Mackay
Middlesbrough,npower Champ.,75,75,75,75,30-06-2011,Tony Mowbray
Club Deportivo Tenerife S.A.D.,Liga Adelante,75,75,75,75,30-06-2011,David Amaral
Hertha BSC,2. Bundesliga,74,74,74,74,30-06-2011,Markus Babbel
Stade Malherbe Caen,Ligue 1,73,73,73,73,30-06-2011,Franck Dumas
Feyenoord,Eredivisie,72,72,72,72,30-06-2011,Mario Been
Burnley,npower Champ.,72,72,72,72,30-06-2011,Eddie Howe
A.C. Cesena,Serie A,72,72,72,72,30-06-2011,Marco Giampaolo
Lens,Ligue 1,71,71,71,71,30-06-2011,László Bölöni
Real Valladolid Club de Fútbol S.A.D.,Liga Adelante,71,71,71,71,30-06-2011,Abel Resino
FC St. Pauli,Bundesliga,71,71,71,71,30-06-2011,Holger Stanislawski
Siena,Serie B,71,71,71,71,30-06-2011,Antonio Conte
CD Nacional,Liga Portuguesa,71,71,71,71,30-06-2011,Predrag Jokanović
Lecce,Serie A,70,70,70,70,30-06-2011,Luigi De Canio
Valenciennes FC,Ligue 1,70,70,70,70,30-06-2011,Philippe Montanier
1. FC Kaiserslautern,Bundesliga,69,69,69,69,30-06-2011,Marco Kurz
Hull City,npower Champ.,68,68,68,68,30-06-2011,Nigel Pearson
Vitoria Guimaraes,Liga Portuguesa,68,68,68,68,30-06-2011,Pedro Martins
Tigres U.A.N.L.,Prim. Div. Mex.,73,73,73,73,30-06-2011,Rodolfo Arruabarrena
A.S. Nancy Lorraine,Ligue 1,72,72,72,72,30-06-2011,Pablo Correa
Brescia,Serie A,72,72,72,72,30-06-2011,Gigi Maifredi
Queens Park Rangers,npower Champ.,72,72,72,72,30-06-2011,Neil Warnock
AC Arles Avignon,Ligue 1,72,72,72,72,30-06-2011,Faruk Hadžibegić
Portsmouth,npower Champ.,71,71,71,71,30-06-2011,Steve Cotterill
SC Heerenveen,Eredivisie,71,71,71,71,30-06-2011,Ron Jans
Nottingham Forest,npower Champ.,71,71,71,71,30-06-2011,Steve McClaren
Atlético Paranaense,Liga do Brasil,70,70,70,70,30-06-2011,Quique Flores
Blackpool,Barclays PL,70,70,70,70,30-06-2011,Ian Holloway
Bristol City,npower Champ.,70,70,70,70,30-06-2011,Keith Millen
FC Augsburgo,2. Bundesliga,70,70,70,70,30-06-2011,Jos Luhukay
FC Groningen,Eredivisie,69,69,69,69,30-06-2011,Pieter Huistra
FC Sochaux-Montbéliard,Ligue 1,68,68,68,68,30-06-2011,Francis Gillot
Livorno,Serie B,73,73,73,73,30-06-2011,Walter Novellino
NAC Breda,Eredivisie,71,71,71,71,30-06-2011,Gert Aandewiel
Rio Ave FC,Liga Portuguesa,71,71,71,71,30-06-2011,Carlos Brito
Roda JC,Eredivisie,70,70,70,70,30-06-2011,Harm van Veldhoven
F. Torino,Serie B,70,70,70,70,30-06-2011,Gian Piero Ventura
Sassuolo,Serie B,70,70,70,70,30-06-2011,Fulvio Pea
Swansea City,npower Champ.,70,70,70,70,30-06-2011,Brendan Rodgers
Derby C.,npower Champ.,69,69,69,69,30-06-2011,Nigel Clough
Vitesse,Eredivisie,69,69,69,69,30-06-2011,Albert Ferrer
Stade Brestois 29,Ligue 1,68,68,68,68,30-06-2011,Alex Dupont
Vitória Setúbal,Liga Portuguesa,68,68,68,68,30-06-2011,Manuel Fernandes
S.C. Olhanense,Liga Portuguesa,66,66,66,66,30-06-2011,Daúto Faquirá
NEC,Eredivisie,69,69,69,69,30-06-2011,Wiljan Vloet
Rayo Vallecano de Madrid S.A.D.,Liga Adelante,69,69,69,69,30-06-2011,José Ramón Sandoval
SC Beira Mar,Liga Portuguesa,69,69,69,69,30-06-2011,Rui Bento
Leicester City,npower Champ.,69,69,69,69,30-06-2011,Sven-Göran Eriksson
Ipswich Town,npower Champ.,68,68,68,68,30-06-2011,Paul Jewell
Leeds United,npower Champ.,68,68,68,68,30-06-2011,Simon Grayson
Elche Club de Fútbol S.A.D.,Liga Adelante,67,67,67,67,30-06-2011,Bordalás
Crystal Palace,npower Champ.,64,64,64,64,30-06-2011,Dougie Freedman
Xerez Club Deportivo S.A.D.,Liga Adelante,71,71,71,71,30-06-2011,Lotina
Energie Cottbus,2. Bundesliga,70,70,70,70,30-06-2011,Claus-Dieter Wollitz
Granada Club de Fútbol,Liga Adelante,70,70,70,70,30-06-2011,Fabri
Alemannia Aachen,2. Bundesliga,69,69,69,69,30-06-2011,Peter Hyballa
U.S. Boulogne Cote D'Opale,Ligue 2,69,69,69,69,30-06-2011,Michel Estevan
Club Deportivo Numancia de Soria S.A.D.,Liga Adelante,68,68,68,68,30-06-2011,Unzué
Reading,npower Champ.,68,68,68,68,30-06-2011,Brian McDermott
MSV Duisburg,2. Bundesliga,68,68,68,68,30-06-2011,Milan Šašić
Norwich City,npower Champ.,68,68,68,68,30-06-2011,Paul Lambert
Heracles Almelo,Eredivisie,67,67,67,67,30-06-2011,Peter Bosz
Preston North End,npower Champ.,67,67,67,67,30-06-2011,Phil Brown
Real Club Celta de Vigo S.A.D.,Liga Adelante,66,66,66,66,30-06-2011,Paco Herrera
Coventry City,npower Champ.,66,66,66,66,30-06-2011,Andy Thorn
Barnsley,npower Champ.,66,66,66,66,30-06-2011,Mark Robins
Arminia Bielefeld,2. Bundesliga,65,65,65,65,30-06-2011,Ewald Lienen
Associação Naval 1° de Maio,Liga Portuguesa,60,60,60,60,30-06-2011,Mozer
Estudiantes Tecos,Prim. Div. Mex.,68,68,68,68,30-06-2011,Miguel Russo
Empoli,Serie B,68,68,68,68,30-06-2011,Alfredo Aglietti
VVV-Venlo,Eredivisie,67,67,67,67,30-06-2011,Wil Boessen
Fortuna Düsseldorf,2. Bundesliga,67,67,67,67,30-06-2011,Norbert Meier
R.C. Recreativo,Liga Adelante,67,67,67,67,30-06-2011,Carlos Ríos
Southa.,npower League 1,67,67,67,67,30-06-2011,Nigel Adkins
ADO Den Haag,Eredivisie,66,66,66,66,30-06-2011,John van den Brom
Willem II,Eredivisie,66,66,66,66,30-06-2011,John Feskens
1. FC Union Berlin,2. Bundesliga,66,66,66,66,30-06-2011,Uwe Neuhaus
Córdoba Club de Fútbol S.A.D.,Liga Adelante,65,65,65,65,30-06-2011,Lucas Alcaraz
SpVgg Greuther Fürth,2. Bundesliga,65,65,65,65,30-06-2011,Mike Büskens
Vicenza,Serie B,65,65,65,65,30-06-2011,Silvio Baldini
Sporting Lokeren OV,Liga Pro,64,64,64,64,30-06-2011,Manolo Preciado
Karlsruher SC,2. Bundesliga,64,64,64,64,30-06-2011,Rainer Scharinger
Reggina,Serie B,64,64,64,64,30-06-2011,Roberto Breda
FC Nantes,Ligue 2,59,59,59,59,30-06-2011,Philippe Anziani
Sheffield Wednesday,npower League 1,68,68,68,68,30-06-2011,Gary Megson
Fútbol Club Barcelona “B”,Liga Adelante,68,68,68,68,30-06-2011,Pep Guardiola
Club Deportivo Chivas USA,MLS,67,67,67,67,30-06-2011,Lotina
Gimnàstic de Tarragona S.A.D.,Liga Adelante,67,67,67,67,30-06-2011,Juan Oliva
SBV Excelsior,Eredivisie,67,67,67,67,30-06-2011,Alex Pastoor
Sociedad Deportiva Huesca S.A.D.,Liga Adelante,66,66,66,66,30-06-2011,Onésimo
Villarreal Club de Fútbol “B” S.A.D.,Liga Adelante,66,66,66,66,30-06-2011,Juan Garrido
De Graafschap,Eredivisie,66,66,66,66,30-06-2011,Darije Kalezić
Havre Athletic Club,Ligue 2,65,65,65,65,30-06-2011,Joaquín Caparrós
Girona Fútbol Club S.A.D.,Liga Adelante,65,65,65,65,30-06-2011,Raúl Agné
Tours FC,Ligue 2,65,65,65,65,30-06-2011,Daniel Sánchez
Angers SCO,Ligue 2,65,65,65,65,30-06-2011,Jean-Louis Garcia
Millwall,npower Champ.,65,65,65,65,30-06-2011,Kenny Jackett
Unión Deportiva Las Palmas S.A.D.,Liga Adelante,65,65,65,65,30-06-2011,Juan Rodríguez
FC Ingolstadt 04,2. Bundesliga,64,64,64,64,30-06-2011,Benno Möhlmann
Albacete Balompié S.A.D.,Liga Adelante,62,62,62,62,30-06-2011,Mario Simón
Grenoble Foot 38,Ligue 2,61,61,61,61,30-06-2011,Yvon Pouliquen
SC Paderborn 07,2. Bundesliga,60,60,60,60,30-06-2011,André Schubert
Evian Thonon Gaillard FC,Ligue 2,59,59,59,59,30-06-2011,Bernard Casoni
Dijon FCO,Ligue 2,66,66,66,66,30-06-2011,Patrice Carteron
Rot-Weiß Oberhausen,2. Bundesliga,65,65,65,65,30-06-2011,Theo Schneider
Nîmes Olympique,Ligue 2,65,65,65,65,30-06-2011,Thierry Froger
Swindon Town,npower League 1,65,65,65,65,30-06-2011,Danny Wilson
Lillestrøm SK,Tippeligaen,65,65,65,65,30-06-2011,Rudi García
AC Ajaccio,Ligue 2,65,65,65,65,30-06-2011,Olivier Pantaloni
Ascoli,Serie B,64,64,64,64,30-06-2011,Fabrizio Castori
Charlton Athletic,npower League 1,63,63,63,63,30-06-2011,Chris Powell
Brighton & Hove Albion,npower League 1,62,62,62,62,30-06-2011,Gustavo Poyet
FC Metz,Ligue 2,59,59,59,59,30-06-2011,Dominique Bijotat
CS Sedan Ardennes,Ligue 2,67,67,67,67,30-06-2011,Landry Chauvin
Notts County,npower League 1,66,66,66,66,30-06-2011,Martin Allen
Stade Lavallois Mayenne FC,Ligue 2,66,66,66,66,30-06-2011,Philippe Hinschberger
Brentford,npower League 1,65,65,65,65,30-06-2011,Nicky Forster
Padova,Serie B,63,63,63,63,30-06-2011,Alessandro Dal Canto
Stade de Reims,Ligue 2,63,63,63,63,30-06-2011,Hubert Fournier
Modena,Serie B,63,63,63,63,30-06-2011,Cristiano Bergodi
Carlisle United,npower League 1,58,58,58,58,30-06-2011,Greg Abbott
Piacenza,Serie B,67,67,67,67,30-06-2011,Armando Madonna
Clermont Foot Auvergne 63,Ligue 2,64,64,64,64,30-06-2011,Michel Der Zakarian
Novara,Serie B,63,63,63,63,30-06-2011,Attilio Tesser
Pescara,Serie B,62,62,62,62,30-06-2011,Zdeněk Zeman
Oldham Athletic,npower League 1,62,62,62,62,30-06-2011,Paul Dickov
Bradford City,npower League 2,61,61,61,61,30-06-2011,Peter Jackson
AFC Bournemouth,npower League 1,60,60,60,60,30-06-2011,Lee Bradbury
Leyton Orient,npower League 1,59,59,59,59,30-06-2011,Russell Slade
FC Istres Ouest Provence,Ligue 2,58,58,58,58,30-06-2011,José Pasqualetti
Varese,Serie B,67,67,67,67,30-06-2011,Benito Carbone
Newcastle United Jets FC,A-League,59,59,59,59,30-06-2011,Alan Pardew
St. Patrick's Athletic,Liga Irlandesa,59,59,59,59,30-06-2011,Joaquín Caparrós
Northampton Town,npower League 2,57,57,57,57,30-06-2011,Gary Johnson
Sporting Fingal,Liga Irlandesa,61,61,61,61,30-06-2011,Manolo Preciado
Bury,npower League 2,60,60,60,60,30-06-2011,Richie Barker
Oxford United FC,npower League 2,57,57,57,57,30-06-2011,Chris Wilder
F.C. Barcelona,Liga BBVA,90,90,90,90,30-06-2012,Pep Guardiola
Real Madrid Club de Fútbol,Liga BBVA,86,86,86,86,30-06-2012,José Mourinho
Manchester City,Barclays PL,83,83,83,83,30-06-2012,Roberto Mancini
Milan,Serie A,86,86,86,86,30-06-2012,Massimiliano Allegri
Manchester United,Barclays PL,84,84,84,84,30-06-2012,Alex Ferguson
Chelsea,Barclays PL,84,84,84,84,30-06-2012,Roberto Di Matteo
Inter,Serie A,83,83,83,83,30-06-2012,Dorival Júnior
Arsenal,Pro League,84,84,84,84,30-06-2012,Gustavo Alfaro
