equipo,liga,ataque,medio,defensa,promedio,año
Nottingham Forest,FL Championship,69,69,69,69,2015
Guadalajara,LIGA Bancomer MX,69,69,69,69,2015
Club de Fútbol Jaguares de Chiapas,LIGA Bancomer MX,69,69,69,69,2015
Sivasspor,Süper Lig,69,69,69,69,2015
Bolton Wanderers,FL Championship,69,69,69,69,2015
Wolverhampton Wanderers,FL Championship,69,69,69,69,2015
Rosenborg BK,Tippeligaen,69,69,69,69,2015
Çaykur Rizespor,Süper Lig,69,69,69,69,2015
Kardemir Karabükspor,Süper Lig,69,69,69,69,2015
Eskişehirspor SK,Süper Lig,69,69,69,69,2015
FC Ingolstadt 04,Bundesliga 2,68,68,68,68,2015
C.F. Os Belenenses,Liga Portuguesa,68,68,68,68,2015
FC Arouca,Liga Portuguesa,68,68,68,68,2015
Charlton Athletic,FL Championship,68,68,68,68,2015
Cesena,Serie A,68,68,68,68,2015
FC Groningen,Eredivisie,68,68,68,68,2015
Reading,FL Championship,68,68,68,68,2015
Santos Laguna,LIGA Bancomer MX,68,68,68,68,2015
ADO Den Haag,Eredivisie,68,68,68,68,2015
FC Utrecht,Eredivisie,68,68,68,68,2015
FC Rostov,Russian League,68,68,68,68,2015
Club Atlético Tigre,Primera División,67,67,67,67,2015
Real Club Deportivo Mallorca SAD,Liga Adelante,67,67,67,67,2015
Querétaro,LIGA Bancomer MX,67,67,67,67,2015
1. FC Nuremberg,Bundesliga 2,67,67,67,67,2015
Portland Timbers,MLS,66,66,66,66,2015
CS Marítimo,Liga Portuguesa,66,66,66,66,2015
Independiente Medellín,Liga Postobón,66,66,66,66,2015
Vancouver Whitecaps FC,MLS,66,66,66,66,2015
Mersin İdman Yurdu,Süper Lig,66,66,66,66,2015
Atlas,LIGA Bancomer MX,64,64,64,64,2015
Real Sporting de Gijón SAD,Liga Adelante,63,63,63,63,2015
Terek Grozny,Russian League,61,61,61,61,2015
Al-Ahli Saudi FC,ALJ League,73,73,73,73,2015
BSC Young Boys,Raiffeisen SL,73,73,73,73,2015
New York Red Bulls,MLS,72,72,72,72,2015
CD Tiburones Rojos de Veracruz,LIGA Bancomer MX,72,72,72,72,2015
1860 Munich,Bundesliga 2,71,71,71,71,2015
Gaziantepspor,Süper Lig,71,71,71,71,2015
Catania,Serie B,70,70,70,70,2015
Racing Club de Lens,Ligue 1,70,70,70,70,2015
FC Sochaux-Montbéliard,Ligue 2,70,70,70,70,2015
KV Kortrijk,Pro League,69,69,69,69,2015
Deportes Tolima,Liga Postobón,69,69,69,69,2015
Ipswich Town,FL Championship,69,69,69,69,2015
Kayseri Erciyesspor,Süper Lig,69,69,69,69,2015
Belgrano de Córdoba,Primera División,68,68,68,68,2015
Bari,Serie B,68,68,68,68,2015
Leeds United,FL Championship,68,68,68,68,2015
Vitória Setúbal,Liga Portuguesa,68,68,68,68,2015
Birmingham City,FL Championship,68,68,68,68,2015
Colorado Rapids,MLS,68,68,68,68,2015
New England Revolution,MLS,68,68,68,68,2015
Ittihad FC,ALJ League,68,68,68,68,2015
Real Salt Lake,MLS,68,68,68,68,2015
SV Darmstadt 98,Bundesliga 2,68,68,68,68,2015
Eintracht Braunschweig,Bundesliga 2,68,68,68,68,2015
Sporting Kansas City,MLS,68,68,68,68,2015
KV Mechelen,Pro League,68,68,68,68,2015
Livorno,Serie B,68,68,68,68,2015
Independiente Santa Fe,Liga Postobón,68,68,68,68,2015
Universidad Católica,C. N. Scotiabank,68,68,68,68,2015
sc Heerenveen,Eredivisie,67,67,67,67,2015
VfL Bochum 1848,Bundesliga 2,67,67,67,67,2015
ES Troyes AC,Ligue 2,67,67,67,67,2015
FC Midtjylland,Superliga,67,67,67,67,2015
Junior FC,Liga Postobón,67,67,67,67,2015
Brøndby IF,Superliga,67,67,67,67,2015
RB Leipzig,Bundesliga 2,67,67,67,67,2015
Club Deportivo Lugo,Liga Adelante,67,67,67,67,2015
D.C. United,MLS,67,67,67,67,2015
Paços Ferreira,Liga Portuguesa,66,66,66,66,2015
Académica Coimbra,Liga Portuguesa,66,66,66,66,2015
Monarcas Morelia,LIGA Bancomer MX,66,66,66,66,2015
Philadelphia Union,MLS,66,66,66,66,2015
CD O'Higgins,C. N. Scotiabank,66,66,66,66,2015
Göteborg,Allsvenskan,66,66,66,66,2015
U.N.A.M.,LIGA Bancomer MX,66,66,66,66,2015
Brighton & Hove Albion,FL Championship,66,66,66,66,2015
Carpi,Serie B,66,66,66,66,2015
Houston Dynamo,MLS,66,66,66,66,2015
Molde FK,Tippeligaen,66,66,66,66,2015
Lech Poznań,Ekstraklasa,65,65,65,65,2015
Millonarios FC,Liga Postobón,65,65,65,65,2015
Arsenal de Sarandí,Primera División,65,65,65,65,2015
Sheffield Wednesday,FL Championship,65,65,65,65,2015
Sporting Charleroi,Pro League,65,65,65,65,2015
SV Zulte-Waregem,Pro League,65,65,65,65,2015
Once Caldas,Liga Postobón,65,65,65,65,2015
SpVgg Greuther Fürth,Bundesliga 2,65,65,65,65,2015
Millwall,FL Championship,62,62,62,62,2015
Gençlerbirliği SK,Süper Lig,71,71,71,71,2015
Karlsruher SC,Bundesliga 2,69,69,69,69,2015
CA Banfield,Primera División,69,69,69,69,2015
Chicago Fire,MLS,69,69,69,69,2015
La Spezia,Serie B,68,68,68,68,2015
Strømsgodset IF,Tippeligaen,68,68,68,68,2015
Puebla,LIGA Bancomer MX,68,68,68,68,2015
San Jose Earthquakes,MLS,68,68,68,68,2015
Torpedo Moscú,Russian League,68,68,68,68,2015
Vålerenga Fotball,Tippeligaen,67,67,67,67,2015
SK Rapid Wien,A. Bundesliga,67,67,67,67,2015
Stade Brestois 29,Ligue 2,67,67,67,67,2015
FSV Frankfurt 1899,Bundesliga 2,67,67,67,67,2015
FC Penafiel,Liga Portuguesa,67,67,67,67,2015
Águilas Doradas,Liga Postobón,67,67,67,67,2015
FC Sion,Raiffeisen SL,67,67,67,67,2015
Pescara,Serie B,67,67,67,67,2015
Aalborg BK,Superliga,66,66,66,66,2015
Vélez Sarsfield,Primera División,66,66,66,66,2015
FC St. Pauli,Bundesliga 2,66,66,66,66,2015
Gil Vicente,Liga Portuguesa,66,66,66,66,2015
Club Deportivo Tenerife SAD,Liga Adelante,66,66,66,66,2015
FK Austria Wien,A. Bundesliga,66,66,66,66,2015
Heracles Almelo,Eredivisie,66,66,66,66,2015
Girona Fútbol Club SAD,Liga Adelante,66,66,66,66,2015
Agrupación Deportiva Alcorcón SAD,Liga Adelante,66,66,66,66,2015
FC Zurich,Raiffeisen SL,65,65,65,65,2015
Sociedad Deportiva Ponferradina SAD,Liga Adelante,65,65,65,65,2015
Unión Española,C. N. Scotiabank,65,65,65,65,2015
NAC Breda,Eredivisie,65,65,65,65,2015
KV Oostende,Pro League,65,65,65,65,2015
Dep. Alavés,Liga Adelante,65,65,65,65,2015
Angers SCO,Ligue 2,65,65,65,65,2015
Suwon Samsung Bluewings,K LEAGUE,65,65,65,65,2015
1. FC Union Berlin,Bundesliga 2,65,65,65,65,2015
Perugia,Serie B,65,65,65,65,2015
FC Dallas,MLS,65,65,65,65,2015
Gimnasia y Esgrima La Plata,Primera División,64,64,64,64,2015
Quilmes Atlético Club,Primera División,64,64,64,64,2015
Grasshopper-Club,Raiffeisen SL,64,64,64,64,2015
FC Seoul,K LEAGUE,64,64,64,64,2015
FC Mordovia Saransk,Russian League,63,63,63,63,2015
Deportivo Cali,Liga Postobón,63,63,63,63,2015
Orlando City Soccer Club,Resto del mundo,62,62,62,62,2015
FC Ural Yekaterinburg,Russian League,62,62,62,62,2015
Aberdeen,Scottish Prem,68,68,68,68,2015
Ulsan Hyundai Horang-i,K LEAGUE,68,68,68,68,2015
Pogoń Szczecin,Ekstraklasa,68,68,68,68,2015
Fútbol Club Barcelona “B”,Liga Adelante,67,67,67,67,2015
Al Shabab FC,ALJ League,67,67,67,67,2015
Hudders. Town,FL Championship,67,67,67,67,2015
Willem II,Eredivisie,67,67,67,67,2015
Waasland-Beveren,Pro League,67,67,67,67,2015
Avellino,Serie B,67,67,67,67,2015
KSV Cercle Brugge,Pro League,67,67,67,67,2015
Modena,Serie B,67,67,67,67,2015
AIK Fotboll,Allsvenskan,66,66,66,66,2015
Go Ahead Eagles,Eredivisie,66,66,66,66,2015
Brescia,Serie B,66,66,66,66,2015
Ternana Calcio,Serie B,66,66,66,66,2015
CD Leganés,Liga Adelante,66,66,66,66,2015
Randers FC,Superliga,66,66,66,66,2015
Wisła Kraków,Ekstraklasa,66,66,66,66,2015
AC Ajaccio,Ligue 2,66,66,66,66,2015
Boavista FC,Liga Portuguesa,66,66,66,66,2015
SC Cambuur,Eredivisie,66,66,66,66,2015
Club Deportivo Numancia de Soria SAD,Liga Adelante,65,65,65,65,2015
Leones Negros de la Universidad de Guadalajara,LIGA Bancomer MX,65,65,65,65,2015
Brentford,FL Championship,65,65,65,65,2015
SV Sandhausen 1916,Bundesliga 2,65,65,65,65,2015
Sangju Sangmu FC,K LEAGUE,65,65,65,65,2015
Centre d'Esports Sabadell FC SAD,Liga Adelante,65,65,65,65,2015
Leyton Orient,Football League 1,65,65,65,65,2015
Amkar Perm,Russian League,65,65,65,65,2015
Audax Italiano,C. N. Scotiabank,65,65,65,65,2015
VfR Aalen,Bundesliga 2,65,65,65,65,2015
La Equidad,Liga Postobón,65,65,65,65,2015
Borgocalcio,Serie B,65,65,65,65,2015
Defensa y Justicia,Primera División,64,64,64,64,2015
Lechia Gdańsk,Ekstraklasa,64,64,64,64,2015
Latina Calcio,Serie B,64,64,64,64,2015
Valenciennes FC,Ligue 2,64,64,64,64,2015
IF Elfsborg,Allsvenskan,63,63,63,63,2015
Deportivo San Marcos de Arica,C. N. Scotiabank,63,63,63,63,2015
Dijon FCO,Ligue 2,63,63,63,63,2015
AS Nancy Lorraine,Ligue 2,63,63,63,63,2015
Royal Mouscron Péruwelz,Pro League,62,62,62,62,2015
Atlético de Rafaela,Primera División,62,62,62,62,2015
BK Häcken,Allsvenskan,61,61,61,61,2015
Real Club Recreativo de Huelva SAD,Liga Adelante,60,60,60,60,2015
CD Palestino,C. N. Scotiabank,59,59,59,59,2015
Balıkesirspor,Süper Lig,67,67,67,67,2015
Bristol City,Football League 1,66,66,66,66,2015
Nîmes Olympique,Ligue 2,66,66,66,66,2015
Pohang Steelers,K LEAGUE,66,66,66,66,2015
Excelsior,Eredivisie,65,65,65,65,2015
1. FC Heidenheim,Bundesliga 2,65,65,65,65,2015
Chamois Niortais FC,Ligue 2,65,65,65,65,2015
Odd BK,Tippeligaen,64,64,64,64,2015
Rotherham United,FL Championship,64,64,64,64,2015
AJ Auxerre,Ligue 2,64,64,64,64,2015
KVC Westerlo,Pro League,64,64,64,64,2015
Racing de Santander,Liga Adelante,64,64,64,64,2015
FC Erzgebirge Aue,Bundesliga 2,64,64,64,64,2015
Frosinone,Serie B,64,64,64,64,2015
Tours FC,Ligue 2,64,64,64,64,2015
Viking FK,Tippeligaen,64,64,64,64,2015
Lierse SK,Pro League,64,64,64,64,2015
Clermont Foot Auvergne 63,Ligue 2,64,64,64,64,2015
CD Universidad de Concepción,C. N. Scotiabank,64,64,64,64,2015
Le Havre Athletic Club,Ligue 2,64,64,64,64,2015
US Créteil-Lusitanos,Ligue 2,64,64,64,64,2015
FC Ufa,Russian League,64,64,64,64,2015
CD Huachipato,C. N. Scotiabank,64,64,64,64,2015
Esbjerg fB,Superliga,63,63,63,63,2015
SK Sturm Graz,A. Bundesliga,63,63,63,63,2015
Sarpsborg,Tippeligaen,63,63,63,63,2015
SS Virtus Lanciano,Serie B,63,63,63,63,2015
Club Deportivo Mirandés,Liga Adelante,63,63,63,63,2015
Deportivo Ñublense,C. N. Scotiabank,63,63,63,63,2015
Helsingborgs IF,Allsvenskan,63,63,63,63,2015
CD Cobreloa,C. N. Scotiabank,63,63,63,63,2015
Seongnam FC,K LEAGUE,63,63,63,63,2015
Inverness Caledonian Thistle,Scottish Prem,63,63,63,63,2015
Sheff.U,Football League 1,62,62,62,62,2015
AC Arles Avignon,Ligue 2,62,62,62,62,2015
Kalmar FF,Allsvenskan,61,61,61,61,2015
Górnik Zabrze,Ekstraklasa,61,61,61,61,2015
Olimpo de Bahía Blanca,Primera División,61,61,61,61,2015
Santiago Wanderers,C. N. Scotiabank,60,60,60,60,2015
Al-Fateh FC,ALJ League,69,69,69,69,2015
Aalesunds FK,Tippeligaen,68,68,68,68,2015
Godoy Cruz,Primera División,68,68,68,68,2015
Preston North End,Football League 1,68,68,68,68,2015
P. Gliwice,Ekstraklasa,67,67,67,67,2015
FC St. Gallen,Raiffeisen SL,66,66,66,66,2015
Atlético Huila,Liga Postobón,66,66,66,66,2015
Deportes Iquique,C. N. Scotiabank,66,66,66,66,2015
Chiavari,Serie B,66,66,66,66,2015
Patriotas Boyacá,Liga Postobón,66,66,66,66,2015
FC Luzern,Raiffeisen SL,65,65,65,65,2015
Melbourne Victory FC,A-League,65,65,65,65,2015
Doncaster Rovers,Football League 1,65,65,65,65,2015
Motherwell,Scottish Prem,65,65,65,65,2015
Jeju United FC,K LEAGUE,65,65,65,65,2015
Ś. Wrocław,Ekstraklasa,65,65,65,65,2015
Sydney FC,A-League,65,65,65,65,2015
Ruch Chorzow,Ekstraklasa,65,65,65,65,2015
Dundee United,Scottish Prem,65,65,65,65,2015
Rangers,Resto del mundo,65,65,65,65,2015
CD Cobresal,C. N. Scotiabank,65,65,65,65,2015
St. Johnstone FC,Scottish Prem,64,64,64,64,2015
Albacete Balompié,Liga Adelante,64,64,64,64,2015
Blackpool,FL Championship,64,64,64,64,2015
Cittadella,Serie B,64,64,64,64,2015
Arsenal Tula,Russian League,64,64,64,64,2015
Gazélec Football Club Ajaccio,Ligue 2,64,64,64,64,2015
FC Vestsjælland,Superliga,64,64,64,64,2015
Wolfsberger Athletik Club,A. Bundesliga,63,63,63,63,2015
Swindon Town,Football League 1,63,63,63,63,2015
Wellington Phoenix FC,A-League,63,63,63,63,2015
Crotone,Serie B,63,63,63,63,2015
Varese,Serie B,63,63,63,63,2015
Milton Keynes Dons,Football League 1,63,63,63,63,2015
Trapani Calcio,Serie B,63,63,63,63,2015
Odense Boldklub,Superliga,63,63,63,63,2015
FC Dordrecht,Eredivisie,63,63,63,63,2015
Deportivo Pasto,Liga Postobón,63,63,63,63,2015
Bradford City,Football League 1,63,63,63,63,2015
Jeonnam Dragons,K LEAGUE,63,63,63,63,2015
Busan I.,K LEAGUE,63,63,63,63,2015
FK Haugesund,Tippeligaen,62,62,62,62,2015
La Berrichonne de Châteauroux,Ligue 2,62,62,62,62,2015
Stade Lavallois Mayenne FC,Ligue 2,62,62,62,62,2015
Brisbane Roar FC,A-League,61,61,61,61,2015
US Pro Vercelli Calcio,Serie B,61,61,61,61,2015
Jagiellonia Białystok,Ekstraklasa,61,61,61,61,2015
Djurgårdens IF,Allsvenskan,60,60,60,60,2015
US Orléans Loiret Football,Ligue 2,60,60,60,60,2015
SV Josko Ried,A. Bundesliga,60,60,60,60,2015
Zawisza Bydgoszcz,Ekstraklasa,59,59,59,59,2015
Barnsley,Football League 1,58,58,58,58,2015
Oldham Athletic,Football League 1,54,54,54,54,2015
Hobro IK,Superliga,67,67,67,67,2015
Ross County FC,Scottish Prem,64,64,64,64,2015
GKS Bełchatów,Ekstraklasa,64,64,64,64,2015
Podbeskidzie Bielsko-Biała,Ekstraklasa,64,64,64,64,2015
Örebro SK,Allsvenskan,63,63,63,63,2015
FC Aarau,Raiffeisen SL,63,63,63,63,2015
Partick Thistle F.C.,Scottish Prem,63,63,63,63,2015
Perth Glory FC,A-League,63,63,63,63,2015
Walsall,Football League 1,63,63,63,63,2015
Incheon United FC,K LEAGUE,63,63,63,63,2015
Chesterfield,Football League 1,62,62,62,62,2015
Shrewsbury,Football League 2,62,62,62,62,2015
Korona Kielce,Ekstraklasa,62,62,62,62,2015
IFK Norrköping,Allsvenskan,62,62,62,62,2015
Kilmarnock,Scottish Prem,62,62,62,62,2015
UE Llagostera,Liga Adelante,62,62,62,62,2015
Adelaide United FC,A-League,62,62,62,62,2015
Port Vale,Football League 1,62,62,62,62,2015
Western Sydney Wanderers FC,A-League,62,62,62,62,2015
CD Antofagasta,C. N. Scotiabank,62,62,62,62,2015
Coventry City,Football League 1,62,62,62,62,2015
Portsmouth,Football League 2,62,62,62,62,2015
FK Bodø/Glimt,Tippeligaen,62,62,62,62,2015
Lillestrøm SK,Tippeligaen,62,62,62,62,2015
FC Admira Wacker Mödling,A. Bundesliga,62,62,62,62,2015
Melbourne City,A-League,61,61,61,61,2015
Unión La Calera,C. N. Scotiabank,61,61,61,61,2015
Club Deportivo Chivas USA,MLS,61,61,61,61,2015
Notts County,Football League 1,61,61,61,61,2015
Cracovia Kraków,Ekstraklasa,61,61,61,61,2015
Envigado FC,Liga Postobón,60,60,60,60,2015
Alianza Petrolera,Liga Postobón,59,59,59,59,2015
Yeovil Town,Football League 1,59,59,59,59,2015
Peterborough U.,Football League 1,59,59,59,59,2015
Uniautónoma FC,Liga Postobón,58,58,58,58,2015
SønderjyskE,Superliga,66,66,66,66,2015
Dundee FC,Scottish Prem,64,64,64,64,2015
SCR Altach,A. Bundesliga,64,64,64,64,2015
FC Thun,Raiffeisen SL,64,64,64,64,2015
Halmstads BK,Allsvenskan,64,64,64,64,2015
St. Mirren,Scottish Prem,63,63,63,63,2015
SV Grödig,A. Bundesliga,63,63,63,63,2015
Athletic Club Barnechea,C. N. Scotiabank,63,63,63,63,2015
Boyacá Chicó,Liga Postobón,63,63,63,63,2015
Górnik Łęczna,Ekstraklasa,62,62,62,62,2015
Scunthorpe United,Football League 1,62,62,62,62,2015
FC Nordsjælland,Superliga,61,61,61,61,2015
Bury,Football League 2,61,61,61,61,2015
Stabæk Fotball,Tippeligaen,61,61,61,61,2015
Crawley Town,Football League 1,61,61,61,61,2015
Colchester Untied,Football League 1,60,60,60,60,2015
Southend United,Football League 2,60,60,60,60,2015
SC Wiener Neustadt,A. Bundesliga,59,59,59,59,2015
SK Brann,Tippeligaen,59,59,59,59,2015
Fortaleza FC,Liga Postobón,57,57,57,57,2015
Al-Taawoun FC,ALJ League,66,66,66,66,2015
Hamilton Academical FC,Scottish Prem,63,63,63,63,2015
Northampton Town,Football League 2,62,62,62,62,2015
Gillingham,Football League 1,61,61,61,61,2015
Al-Faisaly FC,ALJ League,61,61,61,61,2015
Crewe Alexandra,Football League 1,61,61,61,61,2015
Carlisle United,Football League 2,61,61,61,61,2015
Gefle IF,Allsvenskan,60,60,60,60,2015
Plymouth Argyle,Football League 2,60,60,60,60,2015
Fleetwood Town FC,Football League 1,60,60,60,60,2015
Al-Raed FC,ALJ League,59,59,59,59,2015
Oxford United FC,Football League 2,59,59,59,59,2015
Central Coast Mariners FC,A-League,59,59,59,59,2015
Alshoulla FC,ALJ League,59,59,59,59,2015
Al-Orubah FC,ALJ League,59,59,59,59,2015
AFC Wimbledon,Football League 2,58,58,58,58,2015
Åtvidabergs FF,Allsvenskan,58,58,58,58,2015
GyeongNam FC,K LEAGUE,58,58,58,58,2015
IK Start,Tippeligaen,57,57,57,57,2015
Rochdale,Football League 1,56,56,56,56,2015
Najran FC,ALJ League,63,63,63,63,2015
Burton Albion,Football League 2,63,63,63,63,2015
Mjällby AIF,Allsvenskan,61,61,61,61,2015
Dagenham and Redbridge,Football League 2,61,61,61,61,2015
Tranmere Rovers,Football League 2,61,61,61,61,2015
FC Vaduz,Raiffeisen SL,60,60,60,60,2015
York City FC,Football League 2,59,59,59,59,2015
Luton Town,Football League 2,59,59,59,59,2015
Newcastle United Jets FC,A-League,59,59,59,59,2015
Cambridge United,Football League 2,59,59,59,59,2015
Falkenbergs FF,Allsvenskan,58,58,58,58,2015
Stevenage,Football League 2,58,58,58,58,2015
Mansfield Town FC,Football League 2,58,58,58,58,2015
Dundalk,Airtricity League,57,57,57,57,2015
Exeter City,Football League 2,57,57,57,57,2015
Shamrock Rovers,Airtricity League,57,57,57,57,2015
Sandnes Ulf,Tippeligaen,57,57,57,57,2015
Hartlepool United,Football League 2,57,57,57,57,2015
Wycombe Wanderers,Football League 2,56,56,56,56,2015
Cheltenham Town,Football League 2,54,54,54,54,2015
Morecambe,Football League 2,59,59,59,59,2015
St. Patrick's Athletic,Airtricity League,59,59,59,59,2015
IF Brommapojkarna,Allsvenskan,58,58,58,58,2015
Hajer Club,ALJ League,58,58,58,58,2015
Cork City,Airtricity League,58,58,58,58,2015
Sogndal,Tippeligaen,61,61,61,61,2015
Al-Khaleej,ALJ League,61,61,61,61,2015
Sligo Rovers,Airtricity League,59,59,59,59,2015
Accrington,Football League 2,58,58,58,58,2015
Silkeborg IF,Superliga,57,57,57,57,2015
Newport County AFC,Football League 2,56,56,56,56,2015
Bohemians FC,Airtricity League,54,54,54,54,2015
Derry City,Airtricity League,54,54,54,54,2015
Limerick FC,Airtricity League,53,53,53,53,2015
Bray Wanderers,Airtricity League,53,53,53,53,2015
Drogheda United,Airtricity League,52,52,52,52,2015
UCD AFC,Airtricity League,46,46,46,46,2015
Athlone Town AFC,Airtricity League,52,52,52,52,2015
Agentes Libres,Agentes Libres,0,0,0,0,2015
FC Bayern Munich,Bundesliga,88,88,88,88,2016
Fútbol Club Barcelona,Liga BBVA,91,91,91,91,2016
Real Madrid Club de Fútbol,Liga BBVA,86,86,86,86,2016
Paris Saint-Germain,Ligue 1,84,84,84,84,2016
Chelsea,Barclays PL,81,81,81,81,2016
Manchester City,Barclays PL,84,84,84,84,2016
Arsenal,Barclays PL,82,82,82,82,2016
Juventus de Turín,Serie A TIM,81,81,81,81,2016
Borussia Dortmund,Bundesliga,84,84,84,84,2016
Club Atlético de Madrid SAD,Liga BBVA,81,81,81,81,2016
Manchester United,Barclays PL,69,69,69,69,2016
Valencia Club de Fútbol SAD,Liga BBVA,79,79,79,79,2016
Nápoles,Serie A TIM,83,83,83,83,2016
Tottenham Hotspur,Barclays PL,82,82,82,82,2016
Liverpool,Barclays PL,81,81,81,81,2016
Roma,Serie A TIM,79,79,79,79,2016
Sevilla Fútbol Club SAD,Liga BBVA,79,79,79,79,2016
Villarreal Club de Fútbol SAD,Liga BBVA,79,79,79,79,2016
Bayer 04 Leverkusen,Bundesliga,79,79,79,79,2016
VfL Wolfsburgo,Bundesliga,78,78,78,78,2016
Inter de Milán,Serie A TIM,78,78,78,78,2016
Athletic Club,Liga BBVA,78,78,78,78,2016
SL Benfica,Liga NOS,81,81,81,81,2016
Sporting de Lisboa,Liga NOS,79,79,79,79,2016
Zenit de San Petersburgo,Russian League,79,79,79,79,2016
FC Schalke 04,Bundesliga,79,79,79,79,2016
Milán,Serie A TIM,79,79,79,79,2016
Everton,Barclays PL,78,78,78,78,2016
Lazio,Serie A TIM,78,78,78,78,2016
FC Porto,Liga NOS,77,77,77,77,2016
Borussia Mönchengladbach,Bundesliga,77,77,77,77,2016
Beşiktaş JK,Süper Lig,79,79,79,79,2016
Fenerbahçe SK,Süper Lig,79,79,79,79,2016
Fiorentina,Serie A TIM,78,78,78,78,2016
AS Monaco,Ligue 1,77,77,77,77,2016
Olympique de Lyon,Ligue 1,77,77,77,77,2016
Real Sociedad de Fútbol SAD,Liga BBVA,77,77,77,77,2016
Newcastle United,Barclays PL,77,77,77,77,2016
Stoke City,Barclays PL,76,76,76,76,2016
Southampton,Barclays PL,76,76,76,76,2016
West Ham United,Barclays PL,76,76,76,76,2016
Swansea City,Barclays PL,77,77,77,77,2016
Real Club Celta de Vigo SAD,Liga BBVA,77,77,77,77,2016
Olympique de Marsella,Ligue 1,77,77,77,77,2016
Torino,Serie A TIM,77,77,77,77,2016
Real Betis Balompié SAD,Liga BBVA,77,77,77,77,2016
Leicester City,Barclays PL,76,76,76,76,2016
Crystal Palace,Barclays PL,75,75,75,75,2016
Málaga Club de Fútbol SAD,Liga BBVA,75,75,75,75,2016
PSV,Eredivisie,75,75,75,75,2016
TSG 1899 Hoffenheim,Bundesliga,75,75,75,75,2016
Shakhtar Donetsk,Resto del mundo,74,74,74,74,2016
Ajax,Eredivisie,74,74,74,74,2016
AS Saint-Étienne,Ligue 1,74,74,74,74,2016
CSKA Moscú,Russian League,72,72,72,72,2016
Real Club Deportivo de La Coruña SAD,Liga BBVA,79,79,79,79,2016
Watford,Barclays PL,77,77,77,77,2016
Sunderland,Barclays PL,77,77,77,77,2016
Stade Rennais FC,Ligue 1,76,76,76,76,2016
Reial Club Deportiu Espanyol de Barcelona SAD,Liga BBVA,76,76,76,76,2016
Levante Unión Deportiva SAD,Liga BBVA,76,76,76,76,2016
Udinese,Serie A TIM,76,76,76,76,2016
Hamburgo SV,Bundesliga,76,76,76,76,2016
West Bromwich Albion,Barclays PL,76,76,76,76,2016
Eintracht Frankfurt,Bundesliga,76,76,76,76,2016
VfB Stuttgart,Bundesliga,75,75,75,75,2016
Clube Atlético Mineiro,Resto del mundo,75,75,75,75,2016
Hertha BSC Berlin,Bundesliga,75,75,75,75,2016
Rayo Vallecano de Madrid SAD,Liga BBVA,75,75,75,75,2016
Olympiakos CFP,Resto del mundo,75,75,75,75,2016
1. FSV Mainz 05,Bundesliga,75,75,75,75,2016
FC Augsburgo,Bundesliga,75,75,75,75,2016
LOSC Lille,Ligue 1,75,75,75,75,2016
Sampdoria,Serie A TIM,75,75,75,75,2016
Fluminense Football Club,Resto del mundo,74,74,74,74,2016
FC Krasnodar,Russian League,74,74,74,74,2016
Aston Villa,Barclays PL,74,74,74,74,2016
1. FC Colonia,Bundesliga,74,74,74,74,2016
Genoa,Serie A TIM,73,73,73,73,2016
Galatasaray SK,Süper Lig,70,70,70,70,2016
Lokomotiv Moscú,Russian League,65,65,65,65,2016
Norwich City,Barclays PL,78,78,78,78,2016
Sassuolo,Serie A TIM,77,77,77,77,2016
SV Werder Bremen,Bundesliga,76,76,76,76,2016
SC Braga,Liga NOS,75,75,75,75,2016
Girondins de Burdeos,Ligue 1,75,75,75,75,2016
KAA Gent,Pro League,75,75,75,75,2016
Bolonia,Serie A TIM,75,75,75,75,2016
OGC Niza,Ligue 1,74,74,74,74,2016
RSC Anderlecht,Pro League,74,74,74,74,2016
Boca Juniors,Primera División,74,74,74,74,2016
Atalanta,Serie A TIM,74,74,74,74,2016
Getafe Club de Fútbol SAD,Liga BBVA,73,73,73,73,2016
San Lorenzo de Almagro,Primera División,73,73,73,73,2016
Feyenoord,Eredivisie,73,73,73,73,2016
Chievo Verona,Serie A TIM,73,73,73,73,2016
Granada Club de Fútbol SAD,Liga BBVA,73,73,73,73,2016
Grêmio Foot-Ball Porto Alegrense,Resto del mundo,73,73,73,73,2016
Hannover 96,Bundesliga,73,73,73,73,2016
River Plate,Primera División,72,72,72,72,2016
Sociedade Esportiva Palmeiras,Resto del mundo,81,81,81,81,2016
Toulouse FC,Ligue 1,77,77,77,77,2016
Racing Club,Primera División,77,77,77,77,2016
Santos Futebol Clube,Resto del mundo,76,76,76,76,2016
Spartak de Moscú,Russian League,76,76,76,76,2016
Tigres U.A.N.L.,LIGA Bancomer MX,76,76,76,76,2016
Club de Regatas Vasco da Gama,Resto del mundo,76,76,76,76,2016
Trabzonspor,Süper Lig,76,76,76,76,2016
Sociedad Deportiva Eibar SAD,Liga BBVA,74,74,74,74,2016
Club Brujas,Pro League,74,74,74,74,2016
Panathinaikos,Resto del mundo,74,74,74,74,2016
Real Sporting de Gijón SAD,Liga BBVA,73,73,73,73,2016
Hull City,FL Championship,73,73,73,73,2016
En Avant de Guingamp,Ligue 1,73,73,73,73,2016
Bournemouth,Barclays PL,72,72,72,72,2016
Empoli,Serie A TIM,72,72,72,72,2016
Montpellier Hérault SC,Ligue 1,70,70,70,70,2016
PAOK,Resto del mundo,77,77,77,77,2016
FC Basilea,Raiffeisen SL,75,75,75,75,2016
